artist_name,total_minutes,track_count,genres
Tom Odell,308.92203333333333,35,chill pop
Tora,36.78845,12,indie soul
Tory Lanez,533.0467,18,"canadian hip hop, canadian trap, melodic rap, pop rap, r&b, rap, trap"
Travis Scott,548.0314166666667,44,"rap, slap house"
Tuelv,80.62636666666667,16,
Twenty One Pilots,103.64325,25,"modern rock, pop, pov: indie, rock"
Two Feet,175.51435,12,"indie poptimism, modern rock"
"Tyler, The Creator",127.9129,19,"hip hop, rap"
UZI,595.58395,20,"turkish hip hop, turkish trap"
Udo Lindenberg,467.0056,39,"german pop, german rock"
Ufo361,130.18188333333333,12,"german cloud rap, german hip hop"
Unknown Mortal Orchestra,1149.8719333333331,30,"art pop, indie rock, indie soul, indietronica, kiwi rock, neo-psychedelic, portland hip hop, psychedelic pop"
Valeron,101.44876666666669,12,"greek house, organic electronic"
Vampire Weekend,98.37836666666666,15,"baroque pop, chamber pop, garage rock, indie rock, indietronica, modern rock"
Vega,102.5184,13,corrido
Wallows,78.4756,15,pov: indie
Warhaus,99.43903333333331,12,"belgian indie, belgian rock"
Wolfgang Amadeus Mozart,128.48471666666666,16,"classical, classical era"
X Ambassadors,26.948966666666667,11,"modern alternative rock, modern rock, stomp pop"
XXXTENTACION,313.46235,34,"emo rap, miami hip hop, rap"
Yalın,2138.1620333333335,69,turkish pop
Yasemin Mori,487.87623333333335,30,"turkish alternative, turkish jazz, turkish rock"
Yaşar,584.3259333333333,19,"arabesk, deep turkish pop, turkish pop"
Yaşlı Amca,897.3232666666667,19,"turkish alternative rock, turkish rock"
Yedinci Ev,106.06873333333333,11,"turkish alternative rock, turkish rock"
Yeni Türkü,222.94221666666667,26,"turkish folk, turkish jazz, turkish rock"
Yok Öyle Kararlı Şeyler,348.3792666666667,21,"turkish alternative rock, turkish rock"
Yüksek Sadakat,727.6816,31,"turkish pop, turkish rock"
Yüzyüzeyken Konuşuruz,4878.482083333333,50,"turkish alternative rock, turkish rock"
ZHU,1693.3826166666668,101,"edm, electro house"
Zakkum,144.03093333333334,12,"turkish pop, turkish rock"
Zeki Müren,46.26855,12,"turk sanat muzigi, turkish folk"
Zeynep Bastık,1085.64965,26,turkish pop
alt-J,210.26546666666667,20,"indie rock, indietronica, modern alternative rock, modern rock, rock, shimmer pop"
blackbear,98.1064,27,"alt z, pop"
cakal,1746.2928333333334,51,turkce drill
dvsn,172.46483333333333,17,"canadian contemporary r&b, r&b"
emre aydın,334.0960333333333,14,"turkish pop, turkish rock, turkish singer-songwriter"
gny,103.30941666666666,14,
maNga,480.15928333333335,35,turkish rock
mell-ø,23.47065,11,"amapiano, barcadi"
mor ve ötesi,1107.9312333333332,44,"turkish alternative, turkish alternative rock, turkish rock"
tillDawn,2140.0678,72,
Édith Piaf,189.50513333333333,30,"chanson, torch song, vintage schlager"
Özlem Tekin,50.220283333333334,14,"karadeniz turkuleri, turkish pop, turkish rock"
İkiye On Kala,880.2861,23,"turkish pop, turkish rock"
Şanışer,33.79063333333333,11,"turkish hip hop, turkish rock"
Şebnem Ferah,454.08695,23,"turkish pop, turkish rock"
Şehinşah,33.31378333333333,11,"turkish hip hop, turkish trap"
