title,overview,release_date,vote_average,vote_count,genres,original_language
,"Across continents and decades, five brilliant friends make earth-shattering discoveries as the laws of science unravel and an existential threat emerges.",,7.5,999,"Unknown, Mystery, Drama",en
Jurassic World Dominion,"Four years after Isla Nublar was destroyed, dinosaurs now live—and hunt—alongside humans all over the world. This fragile balance will reshape the future and determine, once and for all, whether human beings are to remain the apex predators on a planet they now share with history's most fearsome creatures.",2022-06-01,6.7,6158,"Adventure, Action, Science Fiction",en
Stolen,"The five-month-old baby of impoverished tribal woman Jhumpa Mahato is stolen. Two brothers, Gautam and Raman, who witness the kidnapping, try to help her and become embroiled in the complexities of the investigation.",2023-08-31,6.5,2,"Drama, Thriller",hi
,The queen of department stores and the prince of supermarkets weather a marital crisis—until love miraculously begins to bloom again.,,8.3,318,"Drama, Comedy, Family",ko
Reptile,"Following the brutal murder of a young real estate agent, a hardened detective attempts to uncover the truth in a case where nothing is as it seems, and by doing so dismantles the illusions in his own life.",2023-09-29,6.7,976,"Crime, Mystery, Thriller",en
,An agent in the FBI's Elite Serial Crime Unit develops profiling techniques as he pursues notorious serial killers and rapists.,,8.1,2490,"Drama, Crime",en
,"A young fan maneuvers her way into a seasoned anchor's newsroom but soon confronts the dark side of ambition, envy and the desire to be seen.",,7.1,59,Drama,tr
,"Journalist Graham Hancock travels the globe hunting for evidence of mysterious, lost civilizations dating back to the last Ice Age.",,6.5,62,Documentary,en
Ford v Ferrari,"American car designer Carroll Shelby and the British-born driver Ken Miles work together to battle corporate interference, the laws of physics, and their own personal demons to build a revolutionary race car for Ford Motor Company and take on the dominating race cars of Enzo Ferrari at the 24 Hours of Le Mans in France in 1966.",2019-11-13,8.0,8036,"Drama, Action, History",en
,A politically sensitive murder forces two disparate detectives into a battle with the Berlin underworld and a confrontation with their own corruption.,,7.034,103,"Crime, Drama",de
13 Going on 30,"A girl who's sick of the social strictures of junior high is transformed into a grownup overnight. In this feel-good fairy tale, teenager Jenna wants a boyfriend, and when she's unable to find one, she fantasizes about being a well-adjusted adult. Suddenly, her secret desire becomes a reality, and she is transformed into a 30-year-old, but adulthood, with its own set of male-female challenges, isn't as easy as it looks.",2004-04-13,6.751,5132,"Comedy, Fantasy, Romance",en
,"After spending graduation night together, Emma and Dexter go their separate ways — but their lives remain intertwined.",,7.7,198,Drama,en
,"Geralt of Rivia, a mutated monster-hunter for hire, journeys toward his destiny in a turbulent world where people often prove more wicked than beasts.",,8.048,5927,"Unknown, Drama, Unknown",en
