title,overview,release_date,vote_average,vote_count,genres,original_language
,"Crime journalist Raphael Rowe goes behind the bars of some of the world’s most notorious and toughest prisons. Immersing himself in maximum security facilities around the world to live as a prisoner, he encounters the inmates locked up for their crimes and meets the men and women on the right side of law tasked with keeping the criminals behind bars.",,7.016,64,"Crime, Documentary",en
,"Powerful cats, indestructible arachnids and flesh-melting pit vipers are just the beginning in this series about Latin America's deadliest creatures.",,6.5,14,Documentary,en
,"Terrifying creatures, wicked surprises and dark comedy converge in this NSFW anthology of animated stories presented by Tim Miller and David Fincher.",,8.258,3354,"Animation, Unknown",en
Friends with Benefits,Dylan is done with relationships. Jamie decides to stop buying into the Hollywood clichés of true love. When the two become friends they decide to try something new and take advantage of their mutual attraction - but without any emotional attachment.,2011-07-21,6.656,7940,"Romance, Comedy",en
The Equalizer 2,"Robert McCall, who serves an unflinching justice for the exploited and oppressed, embarks on a relentless, globe-trotting quest for vengeance when his former partner is murdered.",2018-07-19,6.8,5402,"Action, Thriller, Crime",en
,"When the sun suddenly starts killing everything in its path, passengers on an overnight flight from Brussels attempt to survive by any means necessary.",,7.2,519,Unknown,fr
Britney vs. Spears,Journalist Jenny Eliscu and filmmaker Erin Lee Carr investigate Britney Spears' fight for freedom by way of exclusive interviews and confidential evidence.,2021-09-27,7.021,163,"Documentary, Music",en
Through My Window,"Raquel's longtime crush on her next-door neighbor turns into something more when he starts developing feelings for her, despite his family's objections.",2022-02-04,7.385,3152,"Romance, Drama, Comedy",es
Hustlers,A crew of savvy former strip club employees band together to turn the tables on their Wall Street clients.,2019-09-12,6.473,2925,"Drama, Comedy, Crime",en
Emma.,"In 1800s England, a well-meaning but selfish young woman meddles in the love lives of her friends.",2020-02-13,7.0,1747,"Comedy, Romance",en
How to Lose a Guy in 10 Days,"It's the battle of wills, as Andie needs to prove she can dump a guy in 10 days, whereas Ben needs to prove he can win a girl in 10 days. Now, the clock is ticking—and the wildly entertaining comedy smash is off and running in this irresistible tale of sex, lies and outrageous romantic fireworks!",2003-02-07,6.8,3976,"Comedy, Romance",en
Love Tactics,"An ad executive and a fashion designer-blogger don't believe in love, so they place a bet to make the other fall head over heels - with unusual tactics.",2022-02-11,7.1,306,"Romance, Comedy",tr
,"Set in 2050, Kong becomes a wanted fugitive after wrecking havoc at Alcatraz Island’s Natural History and Marine Preserve. What most humans on the hunt for the formidable animal don’t realize, though, is that Kong was framed by an evil genius who plans to terrorize the world with an army of enormous robotic dinosaurs. As the only beast strong enough to save humanity from the mechanical dinos, Kong must rely on the help of three kids who know the truth about him.",,6.2,16,Animation,en
Maide'nin Altın Günü,"When a meticulous homemaker hosts a lavish get-together, her family heirloom gets stolen. She teams with her out-of-towner nephew to find the thief.",2017-12-08,4.2,20,"Family, Comedy",tr
,"National Security agent Fatima receives a tip that a terrorist attack against Sweden is in the planning stage. Meanwhile Sulle, a teenage girl in Stockholm, gets interested in her student assistant who opens doors to a new and fascinating world - the true path. Kalifat is a thriller about the intermingled fates of five young women who get caught up in the seducing and destroying force of religious fundamentalism.",,7.3,126,"Unknown, Drama",sv
,"Reeling from tragedy, a nondescript house cleaner embarks on a murderous streak as she searches for her missing husband and reckons with old wounds.",,7.1,78,"Crime, Drama",tr
Recep Ivedik 5,"During his visit of condolence to Ismet's funeral, Recep Ivedik feels sorry about Ismet's remaining family members due to his latest unfinished job contract which would cause hard financial situation for the family. Therefore, Recep decides to finish Ismet's last job by replacing himself as a bus driver and to transport group of athletes. Although Recep and his accompanying friend Nurullah were expecting this could be a short trip, they learn that it is not because they have to transport young national athletes to sports organization in a foreign country. This becomes the beginning for them to have irreversible adventure. When they are on the road, unfortunate things happen and crisis appears for the team. Recep, who believes only in victory, takes control of the situation and develops his own methods in order to make the team successful while he face with all funny events.",2017-02-16,4.5,105,Comedy,tr
Venom: The Last Dance,"Eddie and Venom are on the run. Hunted by both of their worlds and with the net closing in, the duo are forced into a devastating decision that will bring the curtains down on Venom and Eddie's last dance.",2024-10-22,6.805,2249,"Action, Science Fiction, Adventure",en
,"When her daughter is abducted, a Norwegian diplomat travels to the Middle East, banking on old friends — and a deep secret — to help free her.",,6.9,54,Drama,no
,"Follows the misadventures of four irreverent grade-schoolers in the quiet, dysfunctional town of South Park, Colorado.",,8.369,4378,"Animation, Comedy",en
,"A dance musical that explores the juxtaposition of several segments of 1980s life and society in New York: the ball culture world, the rise of the luxury Trump-era universe and the downtown social and literary scene.",,8.3,534,Drama,en
,"In cosmopolitan 1950s Istanbul, a mother with a troubled past works at a nightclub to reconnect with and help the rebellious daughter she couldn’t raise.",,7.0,60,Drama,tr
,"When Carlton Flynn vanishes 17 years to the night after Stewart Green did, it sets off a chain reaction in the lives of people connected to both men.",,6.968,220,"Drama, Crime, Mystery",en
The Guilty,A demoted police officer assigned to a call dispatch desk is conflicted when he receives an emergency phone call from a kidnapped woman.,2021-09-24,6.42,2688,"Drama, Thriller",en
,"When family man Nick Brewer is abducted in a crime with a sinister online twist, those closest to him race to uncover who is behind it and why.",,7.174,357,"Drama, Crime, Mystery",en
,"Third-year culinary students Prem, Dynamite and Samsi are intrigued when they find out about a cooking competition with a huge reward that would be perfect for their gang. Prem is losing confidence in his skills as a chef when he meets Ten, a medical student under a heavy burden of stress. Ten approaches Prem to teach him cooking, and Prem wants nothing to do with him until he's in sudden need of a large sum of money. However, as the lessons go on, it isn't just the food that's hot, but also their faces as they slowly fall for each other. Meanwhile, Dynamite is love-struck by Fire, Ten's friend who won't give him the time of day.",,7.3,6,"Comedy, Drama",th
,A father recounts to his children - through a series of flashbacks - the journey he and his four best friends took leading up to him meeting their mother.,,8.2,5039,Comedy,en
Don't Look Up,Two astronomers go on a media tour to warn humankind of a planet-killing comet hurtling toward Earth. The response from a distracted world: Meh.,2021-12-08,7.083,8308,"Comedy, Science Fiction, Drama",en
Arif V 216,"After 8 years, Arif's old friend 216 from planet GORA pays a visit to Earth.Together they go on a quest where they'll be visiting 60's.",2018-01-05,6.3,196,"Adventure, Comedy, Science Fiction",tr
Red Notice,"An Interpol-issued Red Notice is a global alert to hunt and capture the world's most wanted. But when a daring heist brings together the FBI's top profiler and two rival criminals, there's no telling what will happen.",2021-11-04,6.765,5837,"Action, Comedy, Crime",en
What a Crush,"Ferhat is a spoiled man who takes over his father's company. Ferhat's right hand is his childhood friend, the company's finance manager, Gökhan. They are not very kind to their employees. One day they will be friends with the restaurant owner. Ferhat falls in love with the restaurant owner's daughter Elif. But Elif is not a delicate and pure young girl. Her career, her hard character, and her witless intelligence, which are full of special trainings and superior services, will make Ferhat much more difficult.",2018-03-02,5.6,78,Comedy,tr
,"More than seven years after the world has become a frozen wasteland, the remnants of humanity inhabit a gigantic, perpetually-moving train that circles the globe as class warfare, social injustice and the politics of survival play out.",,7.387,1230,"Unknown, Drama",en
,"Over the last ten years, technology has transformed almost every aspect of our lives before we've had time to stop and question it. In every home; on every desk; in every palm - a plasma screen; a monitor; a smartphone - a black mirror of our 21st Century existence.",,8.3,5126,"Unknown, Drama, Mystery",en
,"Ever wonder what's happening inside your head? From dreaming to anxiety disorders, discover how your brain works with this illuminating series.",,7.399,99,Documentary,en
,"Rick is a mentally-unbalanced but scientifically gifted old man who has recently reconnected with his family. He spends most of his time involving his young grandson Morty in dangerous, outlandish adventures throughout space and alternate universes. Compounded with Morty's already unstable family life, these events cause Morty much distress at home and school.",,8.7,9871,"Animation, Comedy, Unknown, Unknown",en
,"We spend it, we borrow it, and save it. Now let's talk about money and its many minefields, from credit cards to casino, scammers to student loans.",,7.346,78,Documentary,en
Lion,"A five-year-old Indian boy gets lost on the streets of Calcutta, thousands of kilometers from home. He survives many challenges before being adopted by a couple in Australia; 25 years later, he sets out to find his lost family.",2016-11-24,8.1,6558,Drama,en
Joker,"During the 1980s, a failed stand-up comedian is driven insane and turns to a life of crime and chaos in Gotham City while becoming an infamous psychopathic crime figure.",2019-10-01,8.1,25944,"Crime, Thriller, Drama",en
Fifty Shades of Grey,"When college senior Anastasia Steele steps in for her sick roommate to interview prominent businessman Christian Grey for their campus paper, little does she realize the path her life will take. Christian, as enigmatic as he is rich and powerful, finds himself strangely drawn to Ana, and she to him. Though sexually inexperienced, Ana plunges headlong into an affair -- and learns that Christian's true sexual proclivities push the boundaries of pain and pleasure.",2015-02-11,5.883,11808,"Drama, Romance, Thriller",en
,"This documentary series, made in partnership with Vox, explain some of the world's current trends, from politics, to science to pop culture.",,7.427,109,Documentary,en
Casino,"In early-1970s Las Vegas, Sam ""Ace"" Rothstein gets tapped by his bosses to head the Tangiers Casino. At first, he's a great success in the job, but over the years, problems with his loose-cannon enforcer Nicky Santoro, his ex-hustler wife Ginger, her con-artist ex Lester Diamond and a handful of corrupt politicians put Sam in ever-increasing danger.",1995-11-22,8.0,5847,"Crime, Drama",en
,The documentary series explores different political figures throughout history.,,7.347,213,"Documentary, Unknown",en
,"The gripping, decades-spanning inside story of Her Majesty Queen Elizabeth II and the Prime Ministers who shaped Britain's post-war destiny. 

The Crown tells the inside story of two of the most famous addresses in the world – Buckingham Palace and 10 Downing Street – and the intrigues, love lives and machinations behind the great events that shaped the second half of the 20th century. Two houses, two courts, one Crown.",,8.2,2103,Drama,en
,"A chronicle of the lives of the aristocratic Crawley family and their servants in the post-Edwardian era—with great events in history having an effect on their lives and on the British social hierarchy.

",,8.1,1014,Drama,en
,A woman's daring sexual past collides with her married-with-kids present when the bad-boy ex she can't stop fantasizing about crashes back into her life.,,7.067,1323,Drama,en
The Lobster,"In a dystopian near future, single people, according to the laws of The City, are taken to The Hotel, where they are obliged to find a romantic partner in forty-five days or are transformed into animals and sent off into The Woods.",2015-10-15,7.0,6245,"Comedy, Drama, Romance",en
Life or Something Like It,"A reporter Lanie Kerrigan interviews a psychic homeless man for a fluff piece about a football game's score. Instead he tells her that her life has no meaning and is going to end in just a few days, which sparks her to action, trying to change the pattern of her life...",2002-04-24,5.7,494,"Comedy, Drama, Romance",en
,"Hundreds of cash-strapped players accept a strange invitation to compete in children's games. Inside, a tempting prize awaits — with deadly high stakes.",,7.8,14826,"Unknown, Mystery, Drama",ko
,"Following her father's murder, a revenge-driven woman puts her trust in a powerful crime boss — and enters the police force under his direction.",,8.2,892,"Crime, Drama, Mystery",ko
Frida,"A biography of artist Frida Kahlo, who channeled the pain of a crippling injury and her tempestuous marriage into her work.",2002-08-29,7.4,2012,"Drama, Romance",en
A Beautiful Mind,"Brilliant mathematician, John Nash, is on the brink of international acclaim when he becomes entangled in a mysterious conspiracy.",2001-12-14,7.858,10231,"Drama, Romance",en
,"To carry out the biggest heist in history, a mysterious man called The Professor recruits a band of eight robbers who have a single characteristic: none of them has anything to lose. Five months of seclusion - memorizing every step, every detail, every probability - culminate in eleven days locked up in the National Coinage and Stamp Factory of Spain, surrounded by police forces and with dozens of hostages in their power, to find out whether their suicide wager will lead to everything or nothing.",,8.242,18687,"Crime, Drama",es
Trouble on Wheels,"After the death of his wife and father, Kudret, who has always lived by the book, decides to go on a road trip to save a girl.",2015-09-18,6.4,80,Comedy,tr
The Sound of Music,"In the years before the Second World War, a tomboyish postulant at an Austrian abbey is hired as a governess in the home of a widowed naval captain with seven children, and brings a new love of life and music into the home.",1965-03-29,7.723,3291,"Drama, Family, Music, Romance",en
My Step Dad: The Hippie,"When three adult siblings meet the offbeat man who their widowed mom fawns over, they take drastic actions to stop them from ever getting married.",2018-04-20,4.9,17,Comedy,tr
,"As Iron Man, teenage child prodigy Tony Stark uses his technological inventions to fight various similarly technologically advanced threats. His friends, James ""Rhodey"" Rhodes and Pepper Potts, help him on his courageous and dangerous adventures.",,7.2,131,"Animation, Unknown, Unknown, Family",en
Godzilla,"Ford Brody, a Navy bomb expert, has just reunited with his family in San Francisco when he is forced to go to Japan to help his estranged father, Joe. Soon, both men are swept up in an escalating crisis when an ancient alpha predator arises from the sea to combat malevolent adversaries that threaten the survival of humanity. The creatures leave colossal destruction in their wake, as they make their way toward their final battleground: San Francisco.",2014-05-14,6.341,9143,"Action, Drama, Science Fiction",en
Spider-Man: Homecoming,"Following the events of Captain America: Civil War, Peter Parker, with the help of his mentor Tony Stark, tries to balance his life as an ordinary high school student in Queens, New York City, with fighting crime as his superhero alter ego Spider-Man as a new threat, the Vulture, emerges.",2017-07-05,7.333,21879,"Action, Adventure, Science Fiction, Drama",en
One Love,"Kassa a free-wheelin rasta man, falls for a straight laced gospel singer Serena, when they both meet as they enter a music contest. Serena's father the pastor forbids her to see him and wants her to marry one of his church members. Meanwhile the record boss organizing the contest, tries to get Kassa's band to sign to his label on his terms not theirs. By using heavy tactics, he pushes the band to fight back.",2003-05-18,5.6,15,"Drama, Romance",en
Mortal World,"Mermer family, who has been managing a restaurant called “Anatolian flavors” in Haydarpasa train station for generations, consist of 8 members. Even though this family leads a quiet simple life, they will end up finding themselves in complicated situations. Moreover, this family has been keeping a secret for a long time and it just can’t come out at any cost..",2018-01-26,7.1,168,"Comedy, Action, Crime",tr
,Spider-Man and Marvel's Super Heroes take on a mischievous Loki and a team of super villains in an all-new LEGO adventure.,,6.7,13,"Animation, Unknown",en
Justice League,"Fuelled by his restored faith in humanity and inspired by Superman's selfless act, Bruce Wayne and Diana Prince assemble a team of metahumans consisting of Barry Allen, Arthur Curry and Victor Stone to face the catastrophic threat of Steppenwolf and the Parademons who are on the hunt for three Mother Boxes on Earth.",2017-11-15,6.1,12991,"Action, Adventure, Science Fiction",en
Ghost Rider,"In order to save his dying father, young stunt cyclist Johnny Blaze sells his soul to Mephistopheles and sadly parts from the pure-hearted Roxanne Simpson, the love of his life. Years later, Johnny's path crosses again with Roxanne, now a go-getting reporter, and also with Mephistopheles, who offers to release Johnny's soul if Johnny becomes the fabled, fiery 'Ghost Rider'.",2007-01-15,5.6,5946,"Thriller, Action, Fantasy",en
The Meg,"A deep sea submersible pilot revisits his past fears in the Mariana Trench, and accidentally unleashes the seventy foot ancestor of the Great White Shark believed to be extinct.",2018-08-09,6.253,7670,"Action, Science Fiction, Horror",en
,"Take control of an adventure set in the Minecraft universe. The future of the world is at stake, and your decisions shape the story -- so choose wisely!",,8.0,24,"Unknown, Comedy, Animation, Unknown",en
LEGO Marvel Avengers: Code Red,"The Avengers gather to celebrate their latest victory, but their celebration is quickly interrupted by the mysterious disappearance of Black Widow's father, Red Guardian. As the Avengers investigate, they discover that Red Guardian isn't the only one missing when they meet a dangerous new foe quite unlike anything they've ever encountered before.",2023-10-26,6.6,108,"Animation, Action, Family",en
I'm Glad I Did,"Metin Akpınar has not been on the theater stage since 1992. In addition to TV series and movies, new generations were able to meet him with Devekuşu Kabare's six plays that could be recorded. As if it was written today, those who watched had a taste of his unique acting in current plays. It was an acting that accompanied his talent and his intellectual background. ""I'm Glad I Did"", when transferring through the years Metin Akpinar he brought his own narrative, on the other hand, offers a different approach to Turkey's recent history, leaving an archive for the future by refreshing memory.",2020-07-28,7.8,12,Documentary,tr
,Animated series about a couple of odd little beings.,,5.556,9,"Animation, Family, Comedy, Unknown",en
Locked on You,A meatball seller gets into trouble so flees Istanbul to find a new life on a beautiful island.,2018-11-29,5.6,32,Comedy,tr
,"Furry little bunnies hop through wild adventures as they find solutions, fun and sometimes mischief wherever there is light.",,2.7,3,"Unknown, Animation",be
,"Curious Booba is now a chef! With friends Loola and Spike, he creates tasty treats with delightful designs using fruits, vegetables and other food.",,8.0,1,"Animation, Unknown",en
,"Having spent the summer engaging common criminals with his new-found powers, not so typical 16-year-old Peter Parker must conceal his secret identity and battle super-villains in the real world as he enters his junior year of high school.",,8.6,798,"Unknown, Animation, Unknown, Family",en
The Lego Movie,"An ordinary Lego mini-figure, mistakenly thought to be the extraordinary MasterBuilder, is recruited to join a quest to stop an evil Lego tyrant from conquering the universe.",2014-02-06,7.418,7866,"Animation, Family, Adventure, Comedy, Fantasy",en
Kong: Skull Island,"Explore the mysterious and dangerous home of the king of the apes as a team of explorers ventures deep inside the treacherous, primordial island.",2017-03-08,6.543,10465,"Action, Adventure, Fantasy",en
Recep Ivedik 6,"Recep İvedik is at home watching television, when postman brings him a surprise invitation for the annual dried beans festival of Konya province. Very excited with the news, Recep convinces his best friend Nurullah to join him but due to a miscommunication with the travel agency, they get plane tickets for Kenya, Africa, instead of Konya, Turkey. After arriving at Kenya and getting on a safari tour, our hapless companions find themselves lost in endless savannah and at the middle of two rival local tribes. Many adventures await Recep in this unfamiliar and exotic land, who will try anything and everything to return home, mostly to hilarious results.",2019-11-07,4.5,100,Comedy,tr
PAW Patrol: The Mighty Movie,"A magical meteor crash lands in Adventure City and gives the PAW Patrol pups superpowers, transforming them into The Mighty Pups.",2023-09-21,7.0,463,"Animation, Family, Action, Science Fiction, Comedy, Drama, Adventure",en
LEGO Marvel Spider-Man: Vexed by Venom,"Thanks to Green Goblin and Venom, tech theft is now at an all-time high. Can our Friendly Neighborhood Spider-Man put an end to their mysterious villainous scheme before all of New York City is destroyed?",2019-08-03,6.397,34,"Animation, Action",en
,"Monster House is a Discovery Channel television program that documented the themed remodeling of a residence in a five-day time frame. In 2004, the episode ""Zen House"" was nominated for a Primetime Emmy Award for Outstanding Main Title Theme Music for its opening song by composer Dan Mackenzie.

In early 2006, Discovery Channel announced the show had been canceled and the final episode, titled ""Farewell House"", aired in February.

Monster House is now running in reruns in 2012 on Spike TV.",,0.0,0,,en
Enes Batur: Gerçek Kahraman,,2019-05-31,3.6,11,Comedy,tr
The Incredible Hulk,"Scientist Bruce Banner scours the planet for an antidote to the unbridled force of rage within him: the Hulk. But when the military masterminds who dream of exploiting his powers force him back to civilization, he finds himself coming face to face with a new, deadly foe.",2008-06-12,6.214,11810,"Science Fiction, Action, Adventure",en
Bücür,,2018-09-21,5.7,3,"Family, Comedy",tr
Recep Ivedik 2,"When his grandmother takes ill, foolish brute Recep tries to satisfy her wishes by getting a job and attempting to find a suitable wife.",2009-02-13,4.6,130,Comedy,tr
Recep Ivedik 3,"Recep Ivedik has been depressed since the death of his grandmother. Everyone who tries to help him fails. A young girl named Zeynep, who can't find an apartment, stays with Recep. Initially, the two can't stand each others but after a while, they grow close. Despite many adventures together, Recep's depression won't go away. That is until he experiences something he had never experienced before.",2010-02-12,4.6,120,Comedy,tr
Godzilla x Kong: The New Empire,"Following their explosive showdown, Godzilla and Kong must reunite against a colossal undiscovered threat hidden within our world, challenging their very existence – and our own.",2024-03-27,7.127,3955,"Action, Adventure, Science Fiction",en
Transformers,Young teenager Sam Witwicky becomes involved in the ancient struggle between two extraterrestrial factions of transforming robots – the heroic Autobots and the evil Decepticons. Sam holds the clue to unimaginable power and the Decepticons will stop at nothing to retrieve it.,2007-06-27,6.8,11334,"Adventure, Science Fiction, Action",en
Batman Begins,"Driven by tragedy, billionaire Bruce Wayne dedicates his life to uncovering and defeating the corruption that plagues his home, Gotham City.  Unable to work within the system, he instead creates a new identity, a symbol of fear for the criminal underworld - The Batman.",2005-06-10,7.7,21097,"Action, Crime, Drama",en
,"In the crowded ports of Alaska and the Pacific Northwest sit a handful of salty, machine-fueled, deadline-driven workplaces powered by a nautical breed of hard-working, fun-loving men and women. These boat-repairing operations range in size from small mom-and-pop outfits to massive enterprises blanketing entire coastlines, and they all have one goal in common: fix and build boats fast and make money doing it.",,1.8,2,"Documentary, Unknown",en
Dedemin Fişi,,2016-01-22,5.3,41,Comedy,tr
Blind Love,"A blind man and a deaf woman fall in love with each other, but their disabilities cause major communication problems.",2021-07-22,10.0,1,Romance,sw
Brother in Love,"A robbery leaves a proprietor penniless before his wedding, but becoming a son-in-law to a second family might be the financial solution he needs.",2019-05-24,6.8,53,"Comedy, Family",tr
,"Due to a political conspiracy, an innocent man is sent to death row and his only hope is his brother, who makes it his mission to deliberately get himself sent to the same prison in order to break the both of them out, from the inside out.",,8.1,5221,"Unknown, Crime, Drama",en
Spider-Man,"After being bitten by a genetically altered spider at Oscorp, nerdy but endearing high school student Peter Parker is endowed with amazing powers to become the superhero known as Spider-Man.",2002-05-01,7.303,19210,"Action, Science Fiction",en
Tall Girl,"Jodi, the tallest girl in her high school, has always felt uncomfortable in her own skin. But after years of slouching, being made fun of, and avoiding attention at all costs, Jodi finally decides to find the confidence to stand tall.",2019-09-13,6.318,1869,"Comedy, Drama, Romance",en
The Amazing Spider-Man,"Peter Parker is an outcast high schooler abandoned by his parents as a boy, leaving him to be raised by his Uncle Ben and Aunt May. Like most teenagers, Peter is trying to figure out who he is and how he got to be the person he is today. As Peter discovers a mysterious briefcase that belonged to his father, he begins a quest to understand his parents' disappearance – leading him directly to Oscorp and the lab of Dr. Curt Connors, his father's former partner. As Spider-Man is set on a collision course with Connors' alter ego, The Lizard, Peter will make life-altering choices to use his powers and shape his destiny to become a hero.",2012-06-23,6.71,17440,"Action, Adventure, Science Fiction",en
,"When a young boy vanishes, a small town uncovers a mystery involving secret experiments, terrifying supernatural forces, and one strange little girl.",,8.6,17861,"Drama, Unknown, Mystery, Unknown",en
,"The Pritchett-Dunphy-Tucker clan is a wonderfully large and blended family. They give us an honest and often hilarious look into the sometimes warm, sometimes twisted, embrace of the modern family.",,7.865,2828,Comedy,en
The Hunger Games,"Every year in the ruins of what was once North America, the nation of Panem forces each of its twelve districts to send a teenage boy and girl to compete in the Hunger Games.  Part twisted entertainment, part government intimidation tactic, the Hunger Games are a nationally televised event in which “Tributes” must fight with one another until one survivor remains.  Pitted against highly-trained Tributes who have prepared for these Games their entire lives, Katniss is forced to rely upon her sharp instincts as well as the mentorship of drunken former victor Haymitch Abernathy.  If she’s ever to return home to District 12, Katniss must make impossible choices in the arena that weigh survival against humanity and life against love. The world will be watching.",2012-03-12,7.215,22035,"Science Fiction, Adventure, Fantasy",en
The Last Summer,"Standing on the precipice of adulthood, a group of friends navigate new relationships, while reexamining others, during their final summer before college.",2019-05-03,6.014,1369,"Romance, Comedy",en
The Amazing Spider-Man 2,"For Peter Parker, life is busy. Between taking out the bad guys as Spider-Man and spending time with the person he loves, Gwen Stacy, high school graduation cannot come quickly enough. Peter has not forgotten about the promise he made to Gwen’s father to protect her by staying away, but that is a promise he cannot keep. Things will change for Peter when a new villain, Electro, emerges, an old friend, Harry Osborn, returns, and Peter uncovers new clues about his past.",2014-04-16,6.516,13306,"Action, Adventure, Science Fiction",en
Spider-Man 3,"The seemingly invincible Spider-Man goes up against an all-new crop of villains—including the shape-shifting Sandman. While Spider-Man’s superpowers are altered by an alien organism, his alter ego, Peter Parker, deals with nemesis Eddie Brock and also gets caught up in a love triangle.",2007-05-01,6.4,14185,"Action, Adventure, Science Fiction",en
Predestination,"Predestination chronicles the life of a Temporal Agent sent on an intricate series of time-travel journeys designed to prevent future killers from committing their crimes. Now, on his final assignment, the Agent must stop the one criminal that has eluded him throughout time and prevent a devastating attack in which thousands of lives will be lost.",2014-08-28,7.432,6469,"Science Fiction, Thriller",en
Kill Bill: Vol. 2,"The Bride unwaveringly continues on her roaring rampage of revenge against the band of assassins who had tried to kill her and her unborn child. She visits each of her former associates one-by-one, checking off the victims on her Death List Five until there's nothing left to do … but kill Bill.",2004-04-16,7.876,13940,"Action, Crime, Thriller",en
Kill Bill: Vol. 1,"An assassin is shot by her ruthless employer, Bill, and other members of their assassination circle – but she lives to plot her vengeance.",2003-10-10,7.971,17493,"Action, Crime",en
Recep Ivedik 4,Recep Ivedik coaches the children football team in his neighborhood. For the training he uses the only free piece of land as football field on which he used to play football as a child. Recep notices sadly that this piece of land was sold to a businessman. So as not to loose this for the neighborhood and the children valuable piece of land he decides to re-buy it on his own. With his own methods he does not receive the money. The participation in a competition with a big price is the only solution of his problem ...,2014-02-20,4.4,121,Comedy,tr
,"When the fate of their world, Ninjago, is challenged by great threats, it's up to the ninja: Kai, Jay, Cole, Zane, Lloyd and Nya to save the world.",,7.9,711,"Animation, Unknown, Unknown, Comedy",en
The Gift,Simon and Robyn are a young married couple whose life is going as planned until a chance run-in with Simon's high school acquaintance sends their world into a tailspin.,2015-07-31,6.693,3211,"Thriller, Mystery, Drama",en
,"In 1920s Madrid, four women at the National Telephone Company ring in revolution as they deal with romance, envy and the modern workplace.",,7.8,471,Drama,es
,A missing child causes four families to help each other for answers. What they could not imagine is that this mystery would be connected to innumerable other secrets of the small town.,,8.42,6748,"Crime, Drama, Unknown, Mystery",de
,"Hell-bent on exacting revenge and proving he was framed for his sister's murder, Álex sets out to unearth much more than the crime's real culprit.",,7.6,1168,"Drama, Crime, Mystery",es
,"40-year old political leader Birgitte Nyborg secures her party a landslide victory through her idealism and huge effort, then faces the biggest challenge of her life: how most effectively to use the newly won seats, and how far she is willing to go in order to gain as much influence as possible.",,8.0,209,Drama,da
,"Inspired by actual events, this true crime anthology series takes a deep dive into the dark, twisted minds of terrorists and follows the brave souls who hunt them down.",,7.6,434,"Crime, Mystery",en
,"Two complete strangers, Lola and Chelsea, intervene in a fatal carjacking while waiting at a suburban bus stop, and are subsequently thrust into a chase from authorities across Australia with a vehicle filled with cash. The strangers must rely solely on each other while on the run.",,7.0,68,"Crime, Drama",en
,"In a small New York town, a haunted detective hunts for answers about perplexing crimes while wrestling with his own demons.",,7.471,1061,"Crime, Drama",en
,"Detectives Tori Lustigman and Nick Manning are assigned a brutal murder case in Bondi, where they begin to uncover mounting evidence to suggest the killing is connected to a spate of unexplained deaths, ""suicides"" and disappearances of gay men throughout the 80s and 90s. Haunted by the disappearance of her teenage brother, Tori's fascination with the case soon turns to fixation. When more ritualistic murders occur with the same bizarre signature, Tori and Nick will need to put their relationships, their careers and their lives on the line to finally reveal the truth.",,6.4,38,"Crime, Drama",en
,"Dicle finds herself in an agency when she comes to Istanbul dreaming of becoming a filmmaker. There’s only place for stars, ego wars, greed, fame, money, hope and disappointment here. As Dicle struggles to exist in this glamorous world without losing her way... Her broken family ties start to bleed again. Her father who abandoned them before she was born is now one of the sharks of the industry and they are working in the same agency. And the magical lights of cinema start to shed light on Dicle’s first love.",,6.1,12,"Drama, Comedy, Documentary",tr
,"In a 1950s orphanage, a young girl reveals an astonishing talent for chess and begins an unlikely journey to stardom while grappling with addiction.",,8.475,4670,Drama,en
Leyla Everlasting,"A resilient housewife, her husband and their marriage therapist become mired in a toxic love triangle and a plot to obtain an antique manuscript.",2020-12-04,3.774,42,Comedy,tr
Losers' Club,"Kaan and Mete, co-hosts of a mid 1990s radio show called Kaybedenler Kulübü (Losers' Club), struggle to deal with their daily lives after their show becomes an instant hit. Kaan meets Zeynep, the girl of his dreams, but their relationship comes under pressure as the show continues to stir controversy and attract fans from every segment of Istanbul society.",2011-03-25,6.6,127,"Comedy, Drama",tr
The Dictator,The heroic story of a dictator who risks his life to ensure that democracy would never come to the country he so lovingly oppressed.,2012-05-15,6.195,5873,Comedy,en
BlacKkKlansman,"Colorado Springs, late 1970s. Ron Stallworth, an African American police officer, and Flip Zimmerman, his Jewish colleague, run an undercover operation to infiltrate the Ku Klux Klan.",2018-08-09,7.5,7527,"Crime, Comedy, Drama",en
,"A group of unique characters from dramatically different socio-cultural backgrounds meet in startling circumstances in the vibrant and colorful city of Istanbul, some by chance and some by force of will.",,7.7,111,"Drama, Mystery",tr
Love Likes Coincidences,"Year 1977, a September morning in Ankara... Yilmaz tries to rush his pregnant wife Neriman to the hospital and he crushes into Omer's car. This accident causes Omer's pregnant wife Inci, who was in the back seat, to have a pre-term labor. The babies are born on the same day. They see each other for the first time... This accident is the threshold of the coincidences that bring Ozgur and Deniz together.",2011-02-04,6.9,92,"Drama, Romance",tr
,Undercover agents infiltrate a drug kingpin's operation by posing as a couple at the campground where he spends his weekends. Inspired by real events.,,7.5,145,"Crime, Drama",nl
,"Historian Bettany Hughes travels to India, Greece and China on the trail of three giants of ancient philosophy - Buddha, Socrates and Confucius.",,6.636,11,Documentary,en
